id_bioguide,term_number,term_id,term_type,term_start,term_end,state,district,class,party,how,url,address,phone,fax,contact_form,office,state_rank,rss_url,caucus
B000944,0,B000944-0,rep,1993-01-05,1995-01-03,OH,13,,Democrat,,,,,,,,,,
C000127,0,C000127-0,rep,1993-01-05,1995-01-03,WA,1,,Democrat,,,,,,,,,,
C000141,0,C000141-0,rep,1987-01-06,1989-01-03,MD,3,,Democrat,,,,,,,,,,
C000174,0,C000174-0,rep,1983-01-03,1985-01-03,DE,0,,Democrat,,,,,,,,,,
C001070,0,C001070-0,sen,2007-01-04,2013-01-03,PA,,1,Democrat,,http://casey.senate.gov/,393 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-6324,202-228-0604,http://www.casey.senate.gov/contact/,393 Russell Senate Office Building,,,
F000062,0,F000062-0,sen,1992-11-10,1995-01-03,CA,,1,Democrat,,,,,,,,,,
F000469,0,F000469-0,rep,2019-01-03,2021-01-03,ID,1,,Republican,,https://fulcher.house.gov,1520 Longworth House Office Building; Washington DC 20515-1201,202-225-6611,,,1520 Longworth House Office Building,,,
K000367,0,K000367-0,sen,2007-01-04,2013-01-03,MN,,1,Democrat,,http://klobuchar.senate.gov/,302 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-3244,202-228-2186,http://www.klobuchar.senate.gov/emailamy.cfm,302 Hart Senate Office Building,,,
M000639,0,M000639-0,rep,1993-01-05,1995-01-03,NJ,13,,Democrat,,,,,,,,,,
S000033,0,S000033-0,rep,1991-01-03,1993-01-03,VT,0,,Independent,,,,,,,,,,Democrat
S000770,0,S000770-0,rep,1997-01-07,1999-01-03,MI,8,,Democrat,,,,,,,,,,
T000464,0,T000464-0,sen,2007-01-04,2013-01-03,MT,,1,Democrat,,http://tester.senate.gov/,724 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-2644,202-224-8594,http://www.tester.senate.gov/Contact/index.cfm,724 Hart Senate Office Building,,,
W000802,0,W000802-0,sen,2007-01-04,2013-01-03,RI,,1,Democrat,,http://whitehouse.senate.gov/,717 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-2921,202-228-6362,http://www.whitehouse.senate.gov/contact/,717 Hart Senate Office Building,,,
B001300,0,B001300-0,rep,2017-01-03,2019-01-03,CA,44,,Democrat,,https://barragan.house.gov,1320 Longworth House Office Building; Washington DC 20515-0544,202-225-8220,,,1320 Longworth House Office Building,,,
B001261,0,B001261-0,sen,2007-06-25,2013-01-03,WY,,1,Republican,appointment,http://barrasso.senate.gov,307 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-6441,202-224-1724,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=ContactUs.ContactForm,307 Dirksen Senate Office Building,,,
W000437,0,W000437-0,rep,1995-01-04,1997-01-03,MS,1,,Republican,,,,,,,,,,
A000360,0,A000360-0,sen,2003-01-07,2009-01-03,TN,,2,Republican,,http://alexander.senate.gov/,,,,,,,,
